,Variable 1,Variable 2,Correlation
658,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.3858626318
659,Depression Value,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.7295886628
660,Anxiety_is_missing,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",
661,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.5004715665
662,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.3938091968
663,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.4749764083
664,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","4. In a semester, how often have you been feeling tired or having little energy? ",0.508928309
665,"5. In a semester, how often have you worried too much about academic affairs? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.5151107825
666,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","4. In a semester, how often have you been feeling tired or having little energy? ",0.5336339176
667,"7. In a semester, how often have you felt afraid, as if something awful might happen?","4. In a semester, how often have you been feeling tired or having little energy? ",0.5095726101
668,Anxiety Value,"4. In a semester, how often have you been feeling tired or having little energy? ",0.6224221334
669,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.3970245376
670,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","4. In a semester, how often have you been feeling tired or having little energy? ",0.4143605496
671,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.4450574601
672,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","4. In a semester, how often have you been feeling tired or having little energy? ",0.4247989005
